Está satisfeito com a ferramenta DreamShaper?;Sentiu que os vídeos da DreamShaper foram úteis para si?;Os exemplos foram úteis para si?;Acha que a ferramenta tem perguntas a mais ou, pelo contrário, gostaria de ter mais perguntas intermédias que ajudam a ir ‘entrando’ nos novos conceitos?;Quais são os seus 3 aspectos preferidos da ferramenta ? Aspecto Visual;Quais são os seus 3 aspectos preferidos da ferramenta ? Navegação na Ferramenta;Quais são os seus 3 aspectos preferidos da ferramenta ? Perguntas;Quais são os seus 3 aspectos preferidos da ferramenta ? Exemplos;Quais são os seus 3 aspectos preferidos da ferramenta ? Vídeos;Quais são os seus 3 aspectos preferidos da ferramenta ? Modelo de Negócios;Quais são os seus 3 aspectos preferidos da ferramenta ? Indicações de Interface;Quais são os seus 3 aspectos preferidos da ferramenta ? Mural de equipa;Quais são os seus 3 aspectos preferidos da ferramenta ?  Gestão de equipa;Quais são os seus 3 aspectos preferidos da ferramenta ? Gestão de projectos;Quais são os seus 3 aspectos preferidos da ferramenta ? Acesso a recursos externos;Quais são os seus 3 aspectos preferidos da ferramenta ? Outros;E quais são os 3 aspectos que menos gosta? Aspecto visual;E quais são os 3 aspectos que menos gosta? Navegação na ferramenta;E quais são os 3 aspectos que menos gosta? Perguntas;E quais são os 3 aspectos que menos gosta? Exemplos;E quais são os 3 aspectos que menos gosta? Vídeos;E quais são os 3 aspectos que menos gosta? Modelo de negócios;E quais são os 3 aspectos que menos gosta? Indicações de interface;E quais são os 3 aspectos que menos gosta? Mural de equipa;E quais são os 3 aspectos que menos gosta? Gestão de equipa;E quais são os 3 aspectos que menos gosta? Gestão de projectos;E quais são os 3 aspectos que menos gosta? Acesso a recursos externos;E quais são os 3 aspectos que menos gosta? Outros;Quanto aprendeu com a DreamShaper?
Satisfeito;Úteis, mas pouco;Algo úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;;;Indicações de interface;;;Gestão de projectos;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;;Modelo de negócios;;;;;;;;;Perguntas;;;;Indicações de interface;;;;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;Vídeos;;Indicações de interface;;;;Acesso a recursos externos;;Bastante
Satisfeito;Não foram úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;;Modelo de negócios;;;;;;;;;;;Vídeos;;Indicações de interface;;;;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Algo úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;;;;Vídeos;;;;;;Acesso a recursos externos;;;;;Exemplos;;;;Mural de equipa;Gestão de equipa;;;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;;Modelo de negócios;;;;;;;;;;;Vídeos;;Indicações de interface;;;;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Algo úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;;;Exemplos;;;Indicações de interface;;;;;;;;;;;Modelo de negócios;;;Gestão de equipa;;;.;Bastante
Satisfeito;Foram muito úteis;Não, nada úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;Perguntas;;;;;;;;;;Aspecto visual;Navegação na ferramenta;Perguntas;;;;;;;;;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;Perguntas;;;;;;;;;;;;;;Vídeos;;Indicações de interface;Mural de equipa;;;;;Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;;Modelo de negócios;;;;;;;;;Perguntas;;;;;Mural de equipa;Gestão de equipa;;;;Bastante
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;;Modelo de negócios;;;;;;;;Navegação na ferramenta;;;Vídeos;;;;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;;;;;Gestão de equipa;;Acesso a recursos externos;Às vezes não guarda as alterações feitas.;Bastante
Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;Vídeos;;;;;;;;;;;;;;Indicações de interface;;;;Acesso a recursos externos;Algus problemas no questionário;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;;;;;Indicações de interface;;;Gestão de projectos;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;;;;;Gestão de equipa;Gestão de projectos;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;Perguntas;Exemplos;;;;;;;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;;;Exemplos;Vídeos;;;;;;;;;;;;;Modelo de negócios;;;;Gestão de projectos;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;;;Modelo de negócios;;;;Gestão de projectos;;;;;;;;;Indicações de interface;;;;Acesso a recursos externos;Reduzido espaço de resposta em algumas questões;Bastante
Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;Perguntas;;;Modelo de negócios;;;;;;;;;;;;;;Mural de equipa;;;Acesso a recursos externos;Pouco espaço para desescrever;Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;Perguntas;;Vídeos;;;;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Muito úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;Vídeos;;;;Gestão de equipa;;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;;;;;Gestão de equipa;Gestão de projectos;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;;Vídeos;;;;;Gestão de projectos;;;;;;;;Modelo de negócios;;Mural de equipa;Gestão de equipa;;;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;;Exemplos;Vídeos;;;;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Não, nada úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;Perguntas;Exemplos;Vídeos;;;;;;;;Bastante
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;;;;;Gestão de equipa;Gestão de projectos;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;Perguntas;;;;;;;;;;;;;;Vídeos;;Indicações de interface;;;;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;Vídeos;;;;;;;;;;;Exemplos;;;;;;;Acesso a recursos externos;mais exemplos;Bastante
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;;Vídeos;;;Mural de equipa;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;;Vídeos;;Indicações de interface;;Gestão de equipa;;;;Bastante
Satisfeito;Não foram úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;;;;;;Gestão de projectos;;;;;;;Vídeos;;;;Gestão de equipa;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;Vídeos;;Indicações de interface;;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;Vídeos;;;;;Gestão de projectos;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;Vídeos;;;;;;;;;;;;;;Indicações de interface;Mural de equipa;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;;Vídeos;;;;;Gestão de projectos;;;;Navegação na ferramenta;;Exemplos;;;;;;;;Melhoria nos exemplos, mais informação se possível;Bastante
Satisfeito;Foram muito úteis;Não, nada úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;;;;Indicações de interface;;;Gestão de projectos;;;;;;Exemplos;Vídeos;;Indicações de interface;;;;;;Bastante
Satisfeito;Foram muito úteis;Não, nada úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;;;;Vídeos;;;;;Gestão de projectos;;;;;;Exemplos;Vídeos;;Indicações de interface;;;;;;Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;;Modelo de negócios;;;;;;;;;;;;;Indicações de interface;Mural de equipa;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;Exemplos;Vídeos;;Indicações de interface;;;;;;Bastante
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;Perguntas;;;;;;;;;;;;;;Vídeos;;;;Gestão de equipa;;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;Vídeos;;;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;Vídeos;;;Mural de equipa;Gestão de equipa;;;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;;;;;;Gestão de projectos;;;;;;Exemplos;Vídeos;;;;;;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;Vídeos;;;;;;;;;Navegação na ferramenta;;;;;;;Gestão de equipa;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;;Exemplos;Vídeos;;Indicações de interface;;;;;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;Navegação na ferramenta;Perguntas;;;;;;;;;;;;;Exemplos;;Modelo de negócios;Indicações de interface;;;;;;Bastante
Satisfeito;Foram muito úteis;Muito úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;Perguntas;;;;;;Gestão de equipa;Gestão de projectos;;;Bastante
Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;;;;;;Gestão de equipa;Gestão de projectos;;;;Navegação na ferramenta;;Exemplos;;;Indicações de interface;;;;;;Bastante
Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;;;;;Indicações de interface;;Gestão de equipa;;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;Vídeos;;;;;;;;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;Bastante
Satisfeito;Não foram úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;Perguntas;;;;;;;;;;;;;Exemplos;Vídeos;;;;;;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;;Perguntas;;;Modelo de negócios;;;;;;;;Navegação na ferramenta;;;Vídeos;;;;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Muito úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;;;;;;;Mural de equipa;;Gestão de projectos;;;;;;Exemplos;;;Indicações de interface;;Gestão de equipa;;;;Bastante
Satisfeito;Úteis, mas pouco;Muito úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;Navegação na ferramenta;Perguntas;;;;;;;;;;;;;;Vídeos;;Indicações de interface;Mural de equipa;;;;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;;Perguntas;Exemplos;;;;;;;;;;;;;Vídeos;Modelo de negócios;;;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Não, nada úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;Exemplos;Vídeos;;;;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Não, nada úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;;;Modelo de negócios;;;;Gestão de projectos;;;;;;Exemplos;Vídeos;;;;Gestão de equipa;;;;Bastante
Satisfeito;Úteis, mas pouco;Muito úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;;Exemplos;;;;Mural de equipa;Gestão de equipa;;;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;Vídeos;Modelo de negócios;;;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;;Modelo de negócios;;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;Gestão de projectos;;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;;;;;Mural de equipa;;Gestão de projectos;;;;Navegação na ferramenta;;;;;Indicações de interface;;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;Perguntas;;;;;;;;;;;;;;;;Indicações de interface;;;Gestão de projectos;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;;Modelo de negócios;;;;;;;;Navegação na ferramenta;;;;;;;Gestão de equipa;;;não aplicável;Bastante
Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;;Vídeos;;;;;Gestão de projectos;;;;;Perguntas;;;;;Mural de equipa;;;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Algo úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;Navegação na ferramenta;;;;;;;;;Acesso a recursos externos;;;;;;Vídeos;;Indicações de interface;Mural de equipa;;;;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;Perguntas;;;Modelo de negócios;;;;;;;;;;;Vídeos;;;Mural de equipa;Gestão de equipa;;;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;Exemplos;Vídeos;;;;;;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Algo úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;;Perguntas;;;Modelo de negócios;;;;;;;;;;;Vídeos;;Indicações de interface;;;;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;Perguntas;Exemplos;;;;;;;;;;;;;Vídeos;;Indicações de interface;;;;;Alguma falta de informação relativamente ao projecto que estamos a trabalhar;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;;Exemplos;Vídeos;;;;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;Perguntas;;;Modelo de negócios;;;;;;;;;;Exemplos;Vídeos;;;;;;;Versão mobile;Bastante
Satisfeito;Não foram úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;Vídeos;Modelo de negócios;;;;;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Não, nada úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;;Perguntas;;;;Indicações de interface;;;;;;;;;Exemplos;;;;;Gestão de equipa;;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;;;Indicações de interface;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;Gestão de projectos;;;Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;;;Indicações de interface;;;;Acesso a recursos externos;"alguma dificuldade de ""entrar"" na lógica do modelo";Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;;;Modelo de negócios;;;;Gestão de projectos;;;;;;Exemplos;;;Indicações de interface;;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;;Perguntas;;;;;;;Gestão de projectos;;;;Navegação na ferramenta;;Exemplos;;;;;;;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Algo úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;;;Exemplos;Vídeos;;;;;;;;;Navegação na ferramenta;;;;;;Mural de equipa;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Muito úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;Exemplos;Vídeos;;;;Gestão de equipa;;;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;;Perguntas;;;Modelo de negócios;;;;;;;;Navegação na ferramenta;;;Vídeos;;;;;Gestão de projectos;;;Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;;Perguntas;;Vídeos;;;;;;;;;;;;;;Indicações de interface;;;;Acesso a recursos externos;o facto de nunca ter conseguido colocar questoes!;Bastante
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;Perguntas;Exemplos;;;;;;;;;;;;;Vídeos;;;Mural de equipa;;;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Muito úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;;;;Vídeos;Modelo de negócios;;;;;;;;;;;;;Indicações de interface;Mural de equipa;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;;;;Modelo de negócios;;Mural de equipa;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;;;Indicações de interface;;;;;;;;;;;;;;Gestão de equipa;;Acesso a recursos externos;Pouca possibilidade de apagar ou editar algumas acções;Bastante
Satisfeito;Foram muito úteis;Algo úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;Navegação na ferramenta;;;Vídeos;;;;;;;;;;;;;;Indicações de interface;Mural de equipa;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;;;Exemplos;;;;;;Gestão de projectos;;;;;;;Vídeos;;Indicações de interface;Mural de equipa;;;;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;Exemplos;;;Indicações de interface;;;;Acesso a recursos externos;;Bastante
Satisfeito;Não foram úteis;Algo úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;;;Exemplos;;Modelo de negócios;;;;;;;;;Perguntas;;Vídeos;;;;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;Vídeos;;;;Gestão de equipa;;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;Perguntas;;Vídeos;;;;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;;;Modelo de negócios;Indicações de interface;;;;;;;;;;;;;;Gestão de equipa;Gestão de projectos;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;Perguntas;Exemplos;;;;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;Gestão de projectos;;;Bastante
Satisfeito;Úteis, mas pouco;Não, nada úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;;Exemplos;Vídeos;;;;;;;Podia ter uma ferramenta para exportarmos aquilo que vamos fazerdo;Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;Vídeos;;;;;;;;;;;;;;Indicações de interface;;Gestão de equipa;;;.;Bastante
Satisfeito;Não foram úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;;Exemplos;Vídeos;;;;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;;;Vídeos;;;Mural de equipa;Gestão de equipa;;;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;Vídeos;;Indicações de interface;;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;;;Indicações de interface;;Gestão de equipa;Gestão de projectos;;;Bastante
Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;Exemplos;;;;;Gestão de equipa;;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;;;;Indicações de interface;;Gestão de equipa;;Acesso a recursos externos;;Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;Vídeos;Modelo de negócios;;;;;Acesso a recursos externos;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;Perguntas;;;;Indicações de interface;;;Gestão de projectos;;;Bastante
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;Vídeos;;Indicações de interface;;;Gestão de projectos;;;Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;;;;;Mural de equipa;;;Acesso a recursos externos;algumas perguntas são muito semelhantes;Bastante
Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;;;;;;Gestão de equipa;Gestão de projectos;;Lentidão, a parte da comunidades está um pouco desorganizada;Bastante
Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;Gestão de projectos;;;Bastante
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;Vídeos;;;;;;;;;;Perguntas;Exemplos;;;;;;;;poucos exemplos;Bastante
Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;Exemplos;;;Indicações de interface;;;;Acesso a recursos externos;;Bastante
