Liked?,counts,year,population,percentage
1.0,98,2014,1550,0.06322580645161291
2.0,21,2014,1550,0.013548387096774193
3.0,82,2014,1550,0.05290322580645161
4.0,708,2014,1550,0.4567741935483871
5.0,389,2014,1550,0.2509677419354839
