Liked?,counts,year,population,percentage
1,1,PreviousYear,91,0.01098901098901099
2,3,PreviousYear,91,0.03296703296703297
3,15,PreviousYear,91,0.16483516483516483
4,40,PreviousYear,91,0.43956043956043955
5,31,PreviousYear,91,0.34065934065934067
Não sei/Não respondo,1,PreviousYear,91,0.01098901098901099
