Liked?,counts,year,population,percentage
1,15,PreviousYear,91,0.16483516483516483
2,11,PreviousYear,91,0.12087912087912088
3,58,PreviousYear,91,0.6373626373626373
4,7,PreviousYear,91,0.07692307692307693
