Year,AverageLiked
 PreviousYear,2.6263736263736264
2014,3.1821263482280426
2015,3.3000000000000003
2016,3.2570281124497997
2017,3.65158371040724
2018,3.614942528735632
2019,3.3315789473684214
2020,3.1742424242424243
