"Está satisfeito com a ferramenta DreamShaper?(Classifique de 1 a 4, sendo 1: Nada satisfeito e 4: Muito Satisfeito)",Sentiu que os videos da Dreamshaper foram úteis para si?,Os exemplos foram úteis para si?,"Acha que a ferramenta tem perguntas a mais ou, pelo contrário, gostaria de ter mais perguntas intermédias que ajudam a ir ‘entrando’ nos novos conceitos?",Quais são os seus 3 aspectos preferidos da ferramenta?,E quais são os 3 aspectos que menos gosta?,Quanto aprendeu com a DreamShaper?,Está satisfeito com a ferramenta DreamShaper?,Quanto aprendeu com a DreamShaper?Encod
2,"Úteis, mas pouco",Pouco úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Aspecto visual;Navegação na ferramenta;Indicações de interface;,Perguntas;Exemplos;Modelo de negócios;,Alguma coisa,2,3.0
3,Foram muito úteis,Algo úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Exemplos;Modelo de negócios;Gestão de projectos;,Aspecto visual;Perguntas;Mural de equipa;,Bastante,3,4.0
4- Muito Satisfeito,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Navegação na ferramenta;Vídeos;,Exemplos;Modelo de negócios;Gestão de projectos;,Bastante,4,4.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Exemplos;Vídeos;Modelo de negócios;,Aspecto visual;,Imenso,4,5.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Exemplos;Vídeos;Modelo de negócios;,Aspecto visual;,Imenso,4,5.0
3,"Úteis, mas pouco",Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Perguntas;Modelo de negócios;,Aspecto visual;Indicações de interface;Acesso a recursos externos;,Bastante,3,4.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Exemplos;Modelo de negócios;,Mural de equipa;Gestão de equipa;Gestão de projectos;,Imenso,4,5.0
3,Foram muito úteis,Algo úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Aspecto visual;Exemplos;Acesso a recursos externos;,Navegação na ferramenta;Perguntas;Modelo de negócios;,Bastante,3,4.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Navegação na ferramenta;Gestão de projectos;,Perguntas;Indicações de interface;Acesso a recursos externos;,Bastante,4,4.0
3,"Úteis, mas pouco",Muito úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Navegação na ferramenta;Perguntas;Exemplos;Gestão de projectos;,Modelo de negócios;Indicações de interface;,Bastante,3,4.0
3,"Úteis, mas pouco",Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Navegação na ferramenta;Modelo de negócios;,Perguntas;Gestão de equipa;Acesso a recursos externos;,Alguma coisa,3,3.0
4- Muito Satisfeito,"Úteis, mas pouco",Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Perguntas;Modelo de negócios;Indicações de interface;Gestão de projectos;,Vídeos;Mural de equipa;,Imenso,4,5.0
4- Muito Satisfeito,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Exemplos;Modelo de negócios;Gestão de projectos;,Eu gosto de todos esses aspectos da dreamshaper;Navegação na ferramenta;Indicações de interface;Mural de equipa;,Bastante,4,4.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;Modelo de negócios;Gestão de projectos;,Mural de equipa;Gestão de equipa;Acesso a recursos externos;,Imenso,4,5.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;Modelo de negócios;Gestão de projectos;,Acesso a recursos externos;,Imenso,4,5.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Perguntas;Modelo de negócios;Gestão de projectos;,Navegação na ferramenta;Exemplos;Acesso a recursos externos;,Imenso,4,5.0
4- Muito Satisfeito,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Vídeos;Modelo de negócios;,Navegação na ferramenta;Indicações de interface;Acesso a recursos externos;,Bastante,4,4.0
3,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Exemplos;Modelo de negócios;Gestão de projectos;,Perguntas;Mural de equipa;Acesso a recursos externos;,Bastante,3,4.0
3,"Úteis, mas pouco",Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Exemplos;Modelo de negócios;Gestão de equipa;,sessões de esclarecimento;Perguntas;Mural de equipa;,Alguma coisa,3,3.0
3,"Úteis, mas pouco",Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Aspecto visual;Modelo de negócios;Gestão de projectos;,Não puder imprimir as perguntas e respostas de todo o processo Dreamshaper;Navegação na ferramenta;Indicações de interface;,Bastante,3,4.0
3,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Vídeos;Modelo de negócios;Gestão de projectos;,Aspecto visual;Navegação na ferramenta;Acesso a recursos externos;,Alguma coisa,3,3.0
