"Está satisfeito com a ferramenta DreamShaper?(Classifique de 1 a 4, sendo 1: Nada satisfeito e 4: Muito Satisfeito)",Sentiu que os videos da Dreamshaper foram úteis para si?,Os exemplos foram úteis para si?,"Acha que a ferramenta tem perguntas a mais ou, pelo contrário, gostaria de ter mais perguntas intermédias que ajudam a ir ‘entrando’ nos novos conceitos?",Quais são os seus 3 aspectos preferidos da ferramenta?,E quais são os 3 aspectos que menos gosta?,Quanto aprendeu com a DreamShaper?,Está satisfeito com a ferramenta DreamShaper?,Quanto aprendeu com a DreamShaper?Encod
3,Foram muito úteis,Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Exemplos;Vídeos;,Modelo de negócios;,Alguma coisa,3,3.0
3,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Exemplos;Vídeos;,"Penso que em alguns campos deveria ter mais espaço para escrever e também ser mais objectivo no tipo de resposta que é esperado naquela questão em concreto, pois para quem entra pela 1ªx e faz 1 candidatura pela 1ªx, não sabe o que é pretendido em algumas situações.;Perguntas;Gestão de projectos;",Alguma coisa,3,3.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Exemplos;Modelo de negócios;Mural de equipa;,Exemplos;Modelo de negócios;Mural de equipa;,Bastante,4,4.0
3,"Úteis, mas pouco",Muito úteis,Gosto do actual equilíbrio de perguntas,Exemplos;Modelo de negócios;Gestão de projectos;,Navegação na ferramenta;Indicações de interface;Gestão de equipa;,Bastante,3,4.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Aspecto visual;Navegação na ferramenta;Perguntas;Exemplos;Vídeos;Modelo de negócios;,Mural de equipa;Gestão de equipa;Acesso a recursos externos;,Imenso,4,5.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;Modelo de negócios;Gestão de projectos;,Indicações de interface;Gestão de equipa;Acesso a recursos externos;,Imenso,4,5.0
3,"Úteis, mas pouco",Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Navegação na ferramenta;Modelo de negócios;,Exemplos;Vídeos;Gestão de equipa;,Bastante,3,4.0
3,"Úteis, mas pouco",Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Navegação na ferramenta;,Perguntas;Exemplos;,Alguma coisa,3,3.0
2,Não foram úteis,Pouco úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Aspecto visual;Navegação na ferramenta;Exemplos;,Vídeos;Indicações de interface;Gestão de equipa;,Pouco,2,2.0
4- Muito Satisfeito,"Úteis, mas pouco",Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Modelo de negócios;Gestão de projectos;,Aspecto visual;Exemplos;Gestão de projectos;,Alguma coisa,4,3.0
4- Muito Satisfeito,"Úteis, mas pouco",Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Modelo de negócios;Gestão de projectos;,Aspecto visual;Exemplos;Gestão de projectos;,Alguma coisa,4,3.0
3,"Úteis, mas pouco",Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Perguntas;Vídeos;Modelo de negócios;,Mural de equipa;Gestão de equipa;Gestão de projectos;,Alguma coisa,3,3.0
3,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Exemplos;Vídeos;Indicações de interface;,Aspecto visual;Gestão de equipa;Gestão de projectos;,Bastante,3,4.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Perguntas;Exemplos;Vídeos;,Indicações de interface;Mural de equipa;Gestão de projectos;,Imenso,4,5.0
3,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Exemplos;Gestão de equipa;Gestão de projectos;,Navegação na ferramenta;Perguntas;Indicações de interface;,Alguma coisa,3,3.0
4- Muito Satisfeito,"Úteis, mas pouco",Algo úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Aspecto visual;Navegação na ferramenta;Modelo de negócios;,Perguntas;Exemplos;Indicações de interface;,Bastante,4,4.0
3,Foram muito úteis,Algo úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Aspecto visual;Exemplos;Vídeos;Gestão de projectos;,Navegação na ferramenta;Acesso a recursos externos;,Alguma coisa,3,3.0
3,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;Modelo de negócios;Indicações de interface;Gestão de projectos;,Aspecto visual;Mural de equipa;Acesso a recursos externos;,Alguma coisa,3,3.0
3,Foram muito úteis,Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Vídeos;Modelo de negócios;Gestão de equipa;,Aspecto visual;Exemplos;Mural de equipa;,Bastante,3,4.0
4- Muito Satisfeito,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Indicações de interface;Gestão de equipa;Gestão de projectos;,Aspecto visual;Navegação na ferramenta;Exemplos;,Bastante,4,4.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Exemplos;Vídeos;Modelo de negócios;,Navegação na ferramenta;Indicações de interface;,Bastante,4,4.0
2,"Úteis, mas pouco",Algo úteis,Gosto do actual equilíbrio de perguntas,Vídeos;Modelo de negócios;Gestão de equipa;,Navegação na ferramenta;Mural de equipa;Gestão de equipa;Gestão de projectos;,Alguma coisa,2,3.0
4- Muito Satisfeito,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Exemplos;Modelo de negócios;Gestão de projectos;,Navegação na ferramenta;Indicações de interface;Gestão de equipa;,Alguma coisa,4,3.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;Modelo de negócios;Gestão de projectos;,Acesso a recursos externos;,Bastante,4,4.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Aspecto visual;Exemplos;Modelo de negócios;,Navegação na ferramenta;Indicações de interface;Acesso a recursos externos;,Imenso,4,5.0
4- Muito Satisfeito,"Úteis, mas pouco",Algo úteis,Gosto do actual equilíbrio de perguntas,Modelo de negócios;Gestão de projectos;,Perguntas;Indicações de interface;,Alguma coisa,4,3.0
3,"Úteis, mas pouco",Algo úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Navegação na ferramenta;Modelo de negócios;,Mural de equipa;Gestão de equipa;,Bastante,3,4.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;Exemplos;Vídeos;,Indicações de interface;Acesso a recursos externos;,Bastante,4,4.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Aspecto visual;Navegação na ferramenta;Exemplos;,Indicações de interface;Mural de equipa;Acesso a recursos externos;,Bastante,4,4.0
2,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Modelo de negócios;Mural de equipa;,Aspecto visual;Navegação na ferramenta;Exemplos;Acesso a recursos externos;,Alguma coisa,2,3.0
3,"Úteis, mas pouco",Pouco úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Navegação na ferramenta;,Perguntas;Exemplos;Gestão de equipa;Gestão de projectos;,Nada,3,1.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Vídeos;Gestão de equipa;,Nenhuma a comentar;,Bastante,4,4.0
4- Muito Satisfeito,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Navegação na ferramenta;Vídeos;Modelo de negócios;Gestão de projectos;,Nenhum;,Imenso,4,5.0
3,Foram muito úteis,Pouco úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Aspecto visual;Exemplos;Modelo de negócios;Acesso a recursos externos;,Navegação na ferramenta;Indicações de interface;Gestão de projectos;,Pouco,3,2.0
4- Muito Satisfeito,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Modelo de negócios;,Numero de caracteres bastante limitado em alguns campos. A mensagem que colocava no mural da equipa não ficava gravada ;Mural de equipa;Acesso a recursos externos;,Bastante,4,4.0
4- Muito Satisfeito,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Exemplos;Gestão de equipa;Acesso a recursos externos;,Modelo de negócios;Indicações de interface;Mural de equipa;,Alguma coisa,4,3.0
4- Muito Satisfeito,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Perguntas;Modelo de negócios;,Exemplos;Vídeos;,Bastante,4,4.0
3,"Úteis, mas pouco",Muito úteis,Gosto do actual equilíbrio de perguntas,Exemplos;Vídeos;,Navegação na ferramenta;,Alguma coisa,3,3.0
1- Nada Satisfeito,Não foram úteis,Pouco úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Acesso a recursos externos;,Acesso a recursos externos;,Nada,1,1.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Exemplos;Gestão de projectos;,Indicações de interface;Mural de equipa;Acesso a recursos externos;,Imenso,4,5.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Exemplos;Modelo de negócios;,Mural de equipa;Gestão de equipa;Gestão de projectos;,Bastante,4,4.0
3,"Úteis, mas pouco",Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Modelo de negócios;Gestão de projectos;,Aspecto visual;Mural de equipa;Acesso a recursos externos;,Alguma coisa,3,3.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;,Nada a apontar;,Alguma coisa,4,3.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Exemplos;Vídeos;Modelo de negócios;,Aspecto visual;Mural de equipa;Acesso a recursos externos;,Imenso,4,5.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;Exemplos;Modelo de negócios;,Indicações de interface;Mural de equipa;Acesso a recursos externos;,Bastante,4,4.0
4- Muito Satisfeito,"Úteis, mas pouco",Algo úteis,Gosto do actual equilíbrio de perguntas,Modelo de negócios;,Acesso a recursos externos;,Alguma coisa,4,3.0
3,Foram muito úteis,Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Indicações de interface;Gestão de projectos;,Exemplos;Modelo de negócios;Acesso a recursos externos;,Alguma coisa,3,3.0
2,"Úteis, mas pouco",Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Aspecto visual;Navegação na ferramenta;Exemplos;,"Nao sei, sou um pouco infoexcluida;",Alguma coisa,2,3.0
2,Foram muito úteis,Algo úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Aspecto visual;Navegação na ferramenta;,Modelo de negócios;Gestão de equipa;,Bastante,2,4.0
2,"Úteis, mas pouco",Algo úteis,Gosto do actual equilíbrio de perguntas,Acesso a recursos externos;,Gestão de equipa;,Alguma coisa,2,3.0
3,"Úteis, mas pouco",Muito úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Aspecto visual;Navegação na ferramenta;Indicações de interface;,Modelo de negócios;Gestão de equipa;Gestão de projectos;,Alguma coisa,3,3.0
3,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Vídeos;Modelo de negócios;Gestão de equipa;,espaço reduzido para respostas;Aspecto visual;Navegação na ferramenta;,Bastante,3,4.0
3,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Modelo de negócios;Gestão de projectos;,Indicações de interface;Mural de equipa;Acesso a recursos externos;,Alguma coisa,3,3.0
3,"Úteis, mas pouco",Algo úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;Perguntas;Exemplos;,não tenho nada a apontar de tão negativo que mereça referência;,Alguma coisa,3,3.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Perguntas;Modelo de negócios;,Vídeos;Indicações de interface;Acesso a recursos externos;,Bastante,4,4.0
3,Foram muito úteis,Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Exemplos;Vídeos;,Perguntas;Exemplos;Indicações de interface;,Alguma coisa,3,3.0
3,"Úteis, mas pouco",Muito úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Aspecto visual;Navegação na ferramenta;,Perguntas;Modelo de negócios;,Alguma coisa,3,3.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Aspecto visual;Perguntas;Vídeos;,Vídeos;Mural de equipa;Gestão de projectos;,Imenso,4,5.0
2,"Úteis, mas pouco",Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Perguntas;Exemplos;Vídeos;,Aspecto visual;Navegação na ferramenta;,Alguma coisa,2,3.0
4- Muito Satisfeito,"Úteis, mas pouco",Pouco úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Navegação na ferramenta;Modelo de negócios;Gestão de projectos;,Aspecto visual;Mural de equipa;Acesso a recursos externos;,Alguma coisa,4,3.0
3,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Perguntas;Exemplos;Vídeos;,Indicações de interface;Mural de equipa;Gestão de equipa;,Bastante,3,4.0
4- Muito Satisfeito,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Exemplos;Gestão de equipa;,Navegação na ferramenta;Perguntas;Acesso a recursos externos;,Bastante,4,4.0
3,Foram muito úteis,Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Aspecto visual;Navegação na ferramenta;Vídeos;,Mural de equipa;Gestão de equipa;Acesso a recursos externos;,Alguma coisa,3,3.0
3,"Úteis, mas pouco",Algo úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Aspecto visual;Exemplos;Modelo de negócios;,Indicações de interface;Gestão de equipa;Acesso a recursos externos;,Alguma coisa,3,3.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Modelo de negócios;Gestão de projectos;,"A falta de bases nesta ""linguagem"" de sistematização;",Bastante,4,4.0
3,"Úteis, mas pouco",Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Perguntas;Gestão de projectos;,Exemplos;Modelo de negócios;Acesso a recursos externos;,Alguma coisa,3,3.0
3,"Úteis, mas pouco",Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Modelo de negócios;Indicações de interface;Gestão de projectos;,Aspecto visual;Navegação na ferramenta;Acesso a recursos externos;,Alguma coisa,3,3.0
3,"Úteis, mas pouco",Algo úteis,Gosto do actual equilíbrio de perguntas,Perguntas;Modelo de negócios;Gestão de projectos;,Navegação na ferramenta;Vídeos;Acesso a recursos externos;,Alguma coisa,3,3.0
3,"Úteis, mas pouco",Pouco úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Vídeos;Modelo de negócios;Indicações de interface;Gestão de projectos;,Aspecto visual;Perguntas;Mural de equipa;,Alguma coisa,3,3.0
2,"Úteis, mas pouco",Pouco úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Modelo de negócios;Gestão de equipa;Gestão de projectos;,Aspecto visual;Indicações de interface;Acesso a recursos externos;,Alguma coisa,2,3.0
3,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Perguntas;Exemplos;Modelo de negócios;,Mural de equipa;Gestão de equipa;Acesso a recursos externos;,Bastante,3,4.0
3,"Úteis, mas pouco",Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;,Gestão de equipa;,Pouco,3,2.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;Exemplos;Gestão de projectos;,"gostei de tudo, penso que é uma excelente ferramenta ;",Imenso,4,5.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Exemplos;Vídeos;,Aspecto visual;Indicações de interface;Acesso a recursos externos;,Bastante,4,4.0
3,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Vídeos;Modelo de negócios;,Indicações de interface;Mural de equipa;Acesso a recursos externos;,Bastante,3,4.0
4- Muito Satisfeito,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Vídeos;Gestão de equipa;,gostei de tudo;,Bastante,4,4.0
3,"Úteis, mas pouco",Pouco úteis,Gosto do actual equilíbrio de perguntas,Vídeos;Modelo de negócios;Gestão de equipa;,Navegação na ferramenta;Perguntas;Acesso a recursos externos;,Pouco,3,2.0
3,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;Modelo de negócios;Gestão de projectos;,Não tenho do que não gostar;,Bastante,3,4.0
4- Muito Satisfeito,Foram muito úteis,Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Modelo de negócios;Gestão de projectos;,Perguntas;Exemplos;Gestão de equipa;,Bastante,4,4.0
3,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Exemplos;Modelo de negócios;Gestão de projectos;,Aspecto visual;Navegação na ferramenta;,Bastante,3,4.0
