Question,Counts,Year,population,Percentage
Aspecto visual,59,2017,442,0.1334841628959276
Navegação na Ferramenta,100,2017,442,0.22624434389140272
Perguntas,106,2017,442,0.2398190045248869
Exemplos,107,2017,442,0.2420814479638009
Vídeos,63,2017,442,0.1425339366515837
Modelo de Negócios,33,2017,442,0.0746606334841629
Indicações de interface,131,2017,442,0.29638009049773756
Mural de equipa,107,2017,442,0.2420814479638009
Gestão de equipa,80,2017,442,0.18099547511312217
Gestão de projectos,52,2017,442,0.11764705882352941
