Question,Counts,Year,population,Percentage
Positivos:Aspecto Visual,107,2016,249,0.42971887550200805
Positivos:Navegação na Ferramenta,118,2016,249,0.4738955823293173
Positivos:Perguntas,58,2016,249,0.23293172690763053
Positivos:Exemplos,92,2016,249,0.36947791164658633
Positivos:Vídeos,90,2016,249,0.3614457831325301
Positivos:Modelo de Negócios,129,2016,249,0.5180722891566265
Positivos:Indicações de Interface,42,2016,249,0.1686746987951807
Positivos:Mural de Equipa,16,2016,249,0.0642570281124498
Positivos:Gestão de Equipa,27,2016,249,0.10843373493975904
Positivos:Gestão de Projectos,84,2016,249,0.3373493975903614
Negativos:Aspecto Visual,35,2016,249,0.14056224899598393
Negativos:Navegação na Ferramenta,57,2016,249,0.2289156626506024
Negativos:Perguntas,55,2016,249,0.22088353413654618
Negativos:Exemplos,58,2016,249,0.23293172690763053
Negativos:Vídeos,43,2016,249,0.17269076305220885
Negativos:Modelo de Negócios,26,2016,249,0.10441767068273092
Negativos:Indicações de Interface,93,2016,249,0.37349397590361444
Negativos:Mural de Equipa,72,2016,249,0.2891566265060241
Negativos:Gestão de Equipa,51,2016,249,0.20481927710843373
Negativos:Gestão de Projectos,47,2016,249,0.18875502008032127
