Question,Counts,Year,population,Percentage
Aspecto Visual,107,2016,249,0.42971887550200805
Navegação na Ferramenta,118,2016,249,0.4738955823293173
Perguntas,58,2016,249,0.23293172690763053
Exemplos,92,2016,249,0.36947791164658633
Vídeos,90,2016,249,0.3614457831325301
Modelo de Negócios,129,2016,249,0.5180722891566265
Indicações de Interface,42,2016,249,0.1686746987951807
Mural de equipa,16,2016,249,0.0642570281124498
Gestão de equipa,27,2016,249,0.10843373493975904
Gestão de projectos,84,2016,249,0.3373493975903614
