Question,Counts,Year,population,Percentage
Aspecto visual,131,2018,870,0.15057471264367817
Navegação na Ferramenta,190,2018,870,0.21839080459770116
Perguntas,266,2018,870,0.3057471264367816
Exemplos,260,2018,870,0.2988505747126437
Vídeos,180,2018,870,0.20689655172413793
Modelo de Negócios,78,2018,870,0.0896551724137931
Indicações de interface,285,2018,870,0.3275862068965517
Mural de equipa,224,2018,870,0.2574712643678161
Gestão de equipa,134,2018,870,0.15402298850574714
Gestão de projectos,95,2018,870,0.10919540229885058
