Question,Counts,Year,population,Percentage
Aspecto Visual,226,2017,442,0.5113122171945701
Navegação na Ferramenta,270,2017,442,0.6108597285067874
Perguntas,112,2017,442,0.25339366515837103
Exemplos,192,2017,442,0.4343891402714932
Vídeos,273,2017,442,0.6176470588235294
Modelo de Negócios,245,2017,442,0.5542986425339367
Indicações de Interface,107,2017,442,0.2420814479638009
Mural de equipa,23,2017,442,0.05203619909502263
Gestão de equipa,46,2017,442,0.10407239819004525
Gestão de projectos,176,2017,442,0.39819004524886875
